,,,,,,,Public Service Reform (ranking),,,Economy and Skills/ Capacity (ranking),,,Digital Infrastructure (ranking),,,Public service Reform (score),,,Economy and Skills/Capacity (score),,,Digital Infrastructure (score),,
IRELAND,17,6.697854762,17,16.3,"68,883","  294,054 ",9,24,19,14,7,13,24,19,18,0.8581979321,0.72464,0.8888888804,0.8997361478,0.92185,0.4690679994,0.71186,0.5364343154,0.6871794872
BELGIUM,18,6.611947802,20,17.9,"46,383","  466,366 ",23,26,20,16,2,18,28,13,15,0.7370753323,0.71014,0.8695651741,0.8759894459,0.97124,0.4037911742,0.64407,0.6205894956,0.7794871795
ITALY,19,6.580167739,21,19.9,"38,161","  1,849,970 ",25,15,31,29,30,11,8,16,14,0.694239291,0.86957,0.7198067185,0.6807387863,0.81261,0.5114272356,0.91525,0.5867821183,0.7897435897
SWITZERLAND,20,6.52356742,16,16.1,"62,881","  659,827 ",1,31,1,3,22,10,31,29,17,1,0.60145,1,0.9868073879,0.85794,0.5132977379,0.57627,0.2903663971,0.6974358974
DENMARK,21,6.399736836,12,12.1,"49,696","  306,143 ",6,21,2,4,3,23,17,N/A,21,0.8670605613,0.77536,0.9951690351,0.981530343,0.95303,0.3730012558,0.81356,0,0.641025641
MEXICO,22,6.191226484,26,22.6,"17,862","  1,045,998 ",35,17,34,33,35,22,13,5,9,0.5288035451,0.84783,0.599033784,0.5883905013,0.69934,0.3787006798,0.88136,0.8062295118,0.8615384615
ESTONIA,23,6.189188638,22,21.2,"29,365","  23,137 ",22,12,24,19,18,28,17,23,28,0.7518463811,0.8913,0.8309178381,0.8548812665,0.87608,0.2821024147,0.81356,0.4423468916,0.4461538462
POLAND,24,5.903422964,27,23.6,"27,811","  469,509 ",30,27,30,30,19,14,13,26,23,0.6203840473,0.7029,0.7391304248,0.6675461741,0.87465,0.4488431676,0.88136,0.35835274,0.6102564103
PORTUGAL,25,5.787132218,29,24.4,"30,624","  204,565 ",26,23,21,21,29,20,26,27,27,0.6809453471,0.74638,0.8599033209,0.7941952507,0.81294,0.3893609241,0.66102,0.3398232732,0.5025641026
CZECH REPUBLIC,26,5.778727424,28,24.2,"34,711","  192,925 ",21,34,26,23,20,21,32,17,24,0.753323486,0.47826,0.8019323553,0.765171504,0.86266,0.3841467107,0.55932,0.5687851631,0.6051282051
CHILE,27,5.575553631,31,27.3,"23,960","  247,028 ",34,21,27,26,31,31,22,28,26,0.5716395864,0.77536,0.7971013904,0.7414248021,0.81235,0.2691941161,0.74576,0.2934929667,0.5692307692
SLOVENIA,28,5.530326884,23,21.8,"32,885","  43,991 ",27,17,22,24,11,32,23,18,N/A,0.6765140325,0.84783,0.8405796913,0.7546174142,0.89517,0.2384041978,0.72881,0.5484015482,0
GREECE,29,5.506155491,30,26.0,"26,783","  194,559 ",33,33,33,32,13,25,30,11,24,0.5731166913,0.57971,0.6280193052,0.6437994723,0.89012,0.3396851547,0.61017,0.6364066623,0.6051282051
LATVIA,30,4.864024162,32,29.4,"26,031","  27,677 ",28,30,28,24,24,35,34,31,31,0.658788774,0.6087,0.7922705021,0.7546174142,0.8512,0.2195183467,0.52542,0.2073552792,0.2461538462
TURKEY,31,4.653886802,35,30.4,"24,244","  857,749 ",32,31,35,31,32,24,29,30,30,0.5745937962,0.60145,0.5507246332,0.6569920844,0.79096,0.3670237034,0.62712,0.2183559184,0.2666666667
ICELAND,32,4.584958664,24,22.3,"51,399","  20,047 ",12,29,16,N/A,12,32,26,N/A,29,0.8242245199,0.62319,0.90821251,0,0.89401,0.2384041978,0.66102,0,0.4358974359
SLOVAK REPUBLIC,33,4.561976147,34,30.0,"30,632","  89,552 ",29,35,29,28,33,32,33,21,N/A,0.6410635155,0.44203,0.7681159076,0.6992084433,0.78223,0.2384041978,0.54237,0.4485540828,0
HUNGARY,34,4.430075881,33,29.8,"26,681","  124,343 ",31,28,32,27,27,26,35,N/A,32,0.6159527326,0.63043,0.6956521239,0.7018469657,0.8317,0.3142461095,0.49153,0,0.1487179487
LUXEMBOURG,35,4.239717633,25,22.3,"105,882","  59,948 ",11,25,11,N/A,34,28,25,N/A,N/A,0.8330871492,0.71739,0.9371980695,0,0.77502,0.2821024147,0.69492,0,0
